,|--,MD,--|,|--,MAD,--|,|--,RMSD,--|
DFA, DFT, DFT@HF, DFT@HF(TS), DFT, DFT@HF, DFT@HF(TS), DFT, DFT@HF, DFT@HF(TS)
HF, 10.617610966145074, , , 11.26749225352357, , , 6.833572349968567, , 
LSDA, -15.29540036535133, -5.09228495226774, 15.407141808613936, 15.38636214361884, 7.815997998443575, 17.212325089714316, 9.022940961447786, 6.210360211102463, 12.74222423235019
PBE, -8.879212770826676, -0.9164849353625935, 12.506596925048285, 8.92539076289553, 3.852960206947931, 13.024911134500806, 5.059658606875558, 3.696901490030929, 8.784491931394935
SCAN, -7.435409643723487, -1.699215894380149, 5.966288550994953, 7.496201103760241, 3.054333132119268, 7.198974520564991, 3.380973867771772, 2.63095305644019, 5.043055938847999
r2SCAN, -6.91433256371538, -1.0979387963170126, 6.6854933524506865, 6.962936030008623, 2.8437964299376866, 7.682933549438441, 3.394869521449051, 2.918983789023917, 5.3426008967652
